keys,ts,en,it,pt,
BACK_MOVE,BACK_MOVE,Background moving,Sfondo dinamico,Movimento de fundo,
BACK_MOVE_DESC,BACK_MOVE_DESC,Makes background moving along current piece position making scenery more dynamic.,"Rende lo sfondo mobile e perciò, segue il movimento del pezzo in mano","Faz com que o fundo mecha ao longo da posição atual da peça, tornando o cenário mais dinâmico.",
CLASSIC_BONUS,CLASSIC_BONUS,Classic bonus,Bonus classico,Bónus clássico,
CLASSIC_BONUS_DESC,CLASSIC_BONUS_DESC,Replace standard bonus animation with classic animation like in Lumines: Puzzle Fusion. Might improve game field visibility.,Rimpiazza la freccia bonus con l'animazione classica di Lumines: Puzzle Fusion. Potrebbe migliorare la visibilità,"Substitui a animação de bónus padrão pela animação clássica, tal como no jogo Lumines: Puzzle Fusion. Pode melhorar a visibilidade do campo de jogo.",
BACK_DARK,BACK_DARK,Background darkening,Scurisci sfondo,Escurecimento do fundo,
BACK_DARK_DESC,BACK_DARK_DESC,Makes skin background much darker to improve game field visibility.,Rende lo sfondo più scuro per migliorare la visibilità,Torna o fundo muito mais escuro para melhorar e visibilidade do campo de jogo,
GAME_ASSIST,GAME_ASSIST,Game assist,Assistenza gioco,Assistência,
GAME_ASSIST1,GAME_ASSIST1,None,Nessuna,Nenhuma,
GAME_ASSIST1_DESC,GAME_ASSIST1_DESC,There will be no assistance when placing pieces.,Nessun aiuto per piazzare i pezzi,Nenhuma assistência para colocar peças,
GAME_ASSIST2,GAME_ASSIST2,Reticle only,Solo reticolo,Apenas retículo,
GAME_ASSIST2_DESC,GAME_ASSIST2_DESC,"The piece holder will show a blue reticle, helping you to better understand your piece’s position in the game field.",Verrà visualizzato un reticolo blu del pezzo in mano che ti aiuterà a capire la sua posizione nel campo di gioco,"O suporte da peça mostra um retículo azul, ajudando-te a entender melhor a posição da peça no campo de jogo.",
GAME_ASSIST3,GAME_ASSIST3,Basic ghost,Fantasma base,Sombra basica,
GAME_ASSIST3_DESC,GAME_ASSIST3_DESC,"Basic ghost is displayed at place where piece is currently going to be landed, but it ignores block gravity and doesn't show possible squares.","Fantasma base che mostrerà dove il pezzo atterrerà, Ignora però la gravità e non mostrerà dove è possibile creare dei quadrati","A sombra básica é exibida no local onde a peça vai pousar, mas ignora a gravidade do blocos e não mostra os possíveis quadrados.",
GAME_ASSIST4,GAME_ASSIST4,Advanced ghost,Fantasma avanzato,Sombra avançada,
GAME_ASSIST4_DESC,GAME_ASSIST4_DESC,Advanced ghost is displayed at place where piece is currently going to be landed which shows possible squares and takes block gravity into account.,Fantasma avanzato che mostrerà dove i blocchi del pezzo atterreranno e dove è possibile creare dei quadrati,"O sombra avançada é exibida no local onde a peça vai pousar, mostra os possíveis quadrados e toma em consideração a gravidade do blocos.",
FORCE_STD_BLOCKS,FORCE_STD_BLOCKS,Only standard blocks,Solo blocchi standard,Apenas blocos padrão,
FORCE_STD_BLOCKS_DESC,FORCE_STD_BLOCKS_DESC,Makes all blocks appear only with standard graphics no matter which skin is currently loaded.,"Usa solo i blocchi di grafica standard (Rosso, Bianco, Verde, Viola)",Faz com que todos os blocostenham gráficos padrão seja qual for a skin atualmente carregada,
REMOVE_VIDEO,REMOVE_VIDEO,Remove video,Rimuovi video,Remover video,
REMOVE_VIDEO_DESC,REMOVE_VIDEO_DESC,Removes video from background if skin has it. Might greatly improve performance. Requires skin restart to take action.,Rimuove la parte video dello sfondo se la skin c'è l'ha. Migliora la performance e richiede un riavvio della skin per farlo funzionare,"Remove o video de fundo da skin se houver. Pode melhorar a performance de for significativa. Para remover, a skin precisa de ser reiniciada.",
REMOVE_SCENE,REMOVE_SCENE,Remove scenery,Rimuovi scenario,Remover cenário,
REMOVE_SCENE_DESC,REMOVE_SCENE_DESC,Removes animated background scenery if skin has it. Might improve performance. Requires skin restart to take action.,Rimuove la parte scenario dello sfondo se la skin c'è l'ha. Potrebbe migliorare la performance e richiede un riavvio della skin per farlo funzionare,"Remove animações de fundo da skin se houver. Pode melhorar a performance. Para remover, a skin precisa de ser reiniciada.",
,,,,,
-Control assign-,,,,,
KEY_CATEGORY1,KEY_CATEGORY1,GAMEPLAY,GAMEPLAY,JOGABILIDADE,
KEY_CATEGORY2,KEY_CATEGORY2,MENU & UI,MENU & UI,MENU & IU,
MOVE_LEFT,MOVE_LEFT,Move left,Sposta a sinista,Mover para a esquerda,
MOVE_LEFT_DESC,MOVE_LEFT_DESC,Assign button to move piece left.,Assegna pulsante per muoversi a sinistra,Atribuir botão para mover a peça para a esquerda.,
MOVE_RIGHT,MOVE_RIGHT,Move right,Sposta a destra,Mover para a direita,
MOVE_RIGHT_DESC,MOVE_RIGHT_DESC,Assign button to move piece right.,Assegna pulsante per muoversi a destra,Atribuir botão para mover a peça para a direita.,
ROTATE_LEFT,ROTATE_LEFT,Rotate left,Ruota a sinistra,Girar para a esquerda,
ROTATE_LEFT_DESC,ROTATE_LEFT_DESC,Assign button to rotate piece left.,Assegna pulsante per ruotare il pezzo a sinistra,Atribuir botão para girar a peça para a esquerda.,
ROTATE_RIGHT,ROTATE_RIGHT,Rotate right,Ruota a destra,Girar para a direita,
ROTATE_RIGHT_DESC,ROTATE_RIGHT_DESC,Assign button to rotate piece right.,Assegna pulsante per ruotare il pezzo a destra,Atribuir botão para girar a peça para a direita.,
QUICK_DROP,QUICK_DROP,Quick drop,Quick drop,Queda rápida,
QUICK_DROP_DESC,QUICK_DROP_DESC,Assign button to drop piece quickly.,Assegna pulsante per far cadere il pezzo più velocemente,Atribuir botão para a queda rápida da peça,
SWAP_PIECE,SWAP_PIECE,Piece swap,Scambia pezzo,Trocar peça,
SWAP_PIECE_DESC,SWAP_PIECE_DESC,Assign button to swap piece with next in queue.,Assegna pulsante per eseguire uno scambio,Atribuir botão para trocar a peça com a próxima na fila.,
MENU_ACCEPT,MENU_ACCEPT,Accept,Accetta,Aceitar,
MENU_ACCEPT_DESC,MENU_ACCEPT_DESC,Assign button to accept.,Assegna pulsante per confermare la selezione,Atribuir botão para aceitar.,
MENU_CANCEL,MENU_CANCEL,Cancel,Indietro,Cancelar,
MENU_CANCEL_DESC,MENU_CANCEL_DESC,Assign button to cancel or return to previous menu screen.,Assegna pulsante per andare indietro,Atribuir botão para cancelar ou voltar ao menu,
MENU_EXTRA,MENU_EXTRA,Extra,Extra,Extra,
MENU_EXTRA_DESC,MENU_EXTRA,Assign button for extra menu action.,Assegna pulsante per eseguire un'azione speciale nei menu,Atribuir botão para ação de menu extra.,
KEY_ASSIGN,KEY_ASSIGN,PRESS ANY KEY/GAMEPAD BUTTON TO ASSIGN,PREMI UN TASTO/BOTTONE QUALSIASI DA ASSEGNARE,PRESSIONA QUALQUER BOTÃO DO TECLADO/COMANDO PARA ATRIBUIR,
,,,,,
-Language select-,,,,,
SET_LANGUAGE_DESC,SET_LANGUAGE_DESC,Select this language.,Seleziona questa lingua,Seleciona esta linguagem,
LANGUAGE_TEXT1,LANGUAGE_TEXT1,Project Luminext is a community translated game,Project Luminext è un gioco tradotto dalla community,Project Luminext é um jogo traduzido pela comunidade,
LANGUAGE_TEXT2,LANGUAGE_TEXT2,Some translations may not be 100% completed,Alcune traduzione non sono complete al 100%,Algumas traduções podem não estar 100% completas,
LANGUAGE_TEXT3,LANGUAGE_TEXT3,"If you want to help translating this game to your local language or extend/fix current translation, please read translation manual first, which can be accessed by pressing special button below.","Se vuoi aiutarci a tradurre questo gioco nella tua lingua o espandere/aggiustare una esistente, si prega di leggere il manuale di traduzione che può essere accessibile cliccando sul bottone qui sotto","Se quiseres ajudar a traduzir este jogo para o teu idioma local ou estender/corrigir a tradução atual, lê primeiro o manual de tradução, que pode ser acedido premindo o botão especial abaixo.",
TRANSLATION_PAGE,TRANSLATION_PAGE,Read translation manual,Leggi manuale di traduzione,Ler manual de tradução,
TRANSLATION_PAGE_DESC,TRANSLATION_PAGE_DESC,Open a GitHub wiki page about how to translate this game properly,Apri una pagina Github wiki su come tradurre questo gioco,Abrir uma pagina da GitHub wiki sobre como traduzir este jogo corretamente,
,,,,,
-Playlist mode menu-,,,,,
ENDLESS_RUN,ENDLESS_RUN,Endless run,Giri infiniti,Infinito,
ENDLESS_RUN_DESC,ENDLESS_RUN_DESC,Play current playlist endlessly.,Gioca la playlist all'infinito,Joga infinitas voltas na lista de reprodução atual,
SINGLE_RUN,SINGLE_RUN,Single run,Giro singolo,Volta única,
SINGLE_RUN_DESC,SINGLE_RUN_DESC,Play current playlist until it ends.,Gioca la playlist fino alla fine,Joga na lista de reprodução atual até a mesma acabar,
GAME_CONFIG,GAME_CONFIG,Game configuration,Configura gioco,Configuração de jogo,
GAME_CONFIG_DESC,GAME_CONFIG_DESC,Change gameplay settings.,Cambia le impostazioni del gioco,Muda as configurações de jogo,
SAVE_PLAYLIST,SAVE_PLAYLIST,Save playlist,Salva playlist,Salvar lista de reprodução,
SAVE_PLAYLIST_DESC,SAVE_PLAYLIST_DESC,Save current playlist.,Salva la playlist creata,Salvar lista de reprodução atual,
SAVE_PLAYLIST_DIALOG,SAVE_PLAYLIST_DIALOG,Enter playlist name,Inserisci nome playlist,Introduz o nome da lista de reprodução,
LOAD_PLAYLIST,LOAD_PLAYLIST,Load playlist,Carica playlist,Carregar lista de reprodução,
LOAD_PLAYLIST_DESC,LOAD_PLAYLIST_DESC,Load any saved playlist.,Carica una playlist salvata,Carrega qualquer lista de reprodução gravada,
NO_SKINS1,NO_SKINS1,No skins found!,Nessuna skin trovata!,Nenhuma skin encontrada!,
NO_SKINS2,NO_SKINS2,"Please check if any skin is placed inside ""skins"" folder...","Si prega di controllare se le skin sono dentro la cartella ""skin""","Por favor verifica se as skins estão no ficheiro ""skins"" ...",
PLAYLIST_MODE_ARROW1,PLAYLIST_MODE_ARROW1,MENU / DESCRIPTION,MENU / DESCRIZIONE,MENU / DESCRIÇÃO,
PLAYLIST_MODE_ARROW2,PLAYLIST_MODE_ARROW2,SKINS LIST,LISTA DI SKIN,LISTA DE SKINS,
PLAYLIST_MODE_ARROW3,PLAYLIST_MODE_ARROW3,PLAYLIST,PLAYLIST,LISTA DE REPRODUÇÃO,
PLAYLIST_MODE_ARROW4,PLAYLIST_MODE_ARROW4,AUDIO VISUALIZER,VISUALIZZATORE AUDIO,VISULIZADOR DE ÁUDIO,
PLAYLIST_MODE_ARROW5,PLAYLIST_MODE_ARROW5,SKIN METADATA,METADATI,METADADOS DA SKIN,
SKINS_TOTAL,SKINS_TOTAL,Skins total,Skin in totali,Total de skins,
SWAP_SKIN,SWAP_SKIN,Select another skin to swap with selected,Seleziona un altra skin da scambiare con quella selezionata,Seleciona outra skins para trocar com a selecionada,
SKIN_SELECT_DESC,SKIN_SELECT_DESC,Add this skin to the playlist,Aggiungi questa skin alla playlist,Adiciona esta skin á lista de reprodução,
SKIN_PLAYLIST_SELECT,SKIN_PLAYLIST_SELECT,Swap this skin with other one in playlist,Scambia questa skin con una presente nella playlist,Trocar esta skin com outra na lista de reprodução,
SHUFFLE,SHUFFLE,Shuffle,Shuffle,Baralhar,
SHUFFLE_1,SHUFFLE_1,Add 1 random skin into playlist.,Aggiungi una skin a caso nella playlist,Adicionar 1 skin aleatória á lista de reprodução.,
SHUFFLE_5,SHUFFLE_5,Add 5 random skins into playlist.,Aggiungi 5 skin a caso nella playlist,Adicionar 5 skin aleatória á lista de reprodução.,
SHUFFLE_10,SHUFFLE_10,Add 10 random skins into playlist.,Aggiungi 10 skin a caso nella playlist,Adicionar 10 skin aleatória á lista de reprodução.,
SHUFFLE_ALL,SHUFFLE_ALL,Shuffle all avaiable skins into playlist.,Mischia tutte le skin nella playlist,Baralhar todas a s skins disponíveis para a lista de reprodução,
ALL,ALL,All,Aggiungi tutte,Tudo,
CLEAR,CLEAR,Clear,Elimina tutte,Limpar,
CLEAR_DESC,CLEAR,Remove all skins from playlist.,Rimuovi tutte le skin dalla playlist,Remover todas as skins da lista de reprodução,
,,,,,
-Game configuration-,,,,,
BLOCKS,BLOCKS,Blocks,Blocchi,Blocos,
BLOCKS_DESC,BLOCKS_DESC,Open block variants selection tab.,Apri la sezione blocchi,Abre a página de seleção de variantes de bloco,
GAME_RULES,GAME_RULES,Game rules,Regole,Regras de jogo,
GAME_RULES_DESC,GAME_RULES_DESC,Open game rules configuration tab.,Apri la sezione regole,Abre a página de configuração das regras,
GAME_PARAM,GAME_PARAM,Parameters,Parametri,Parametros,
GAME_PARAM_DESC,GAME_PARAM_DESC,Open game parameters configuration tab.,Apri la sezione parametri,Abre a página de configuração dos parametros,
LOAD_PRESET,LOAD_PRESET,Load preset,Carica configurazione,Carregar pré definição,
LOAD_PRESET_DESC,LOAD_PRESET_DESC,Load available game configuration preset.,Carica una configurazione,Carrega pré definições de jogo disponíveis,
SAVE_PRESET,SAVE_PRESET,Save preset,Salva configurazione,Salvar pré definição,
SAVE_PRESET_DESC,SAVE_PRESET_DESC,Save current game configuration to load later as preset.,Salva la configurazione,Salva a configuração de jogo atual para poderes carrega-la mais tarde como uma pré definição,
SAVE_PRESET_DIALOG,SAVE_PRESET_DIALOG,Enter gameplay configuration preset name,Inserisci nome della configurazione,Introduz o nome da pré definição de configuração de jogo,
GAME_CONFIG_ARROW1,GAME_CONFIG_ARROW1,OPTIONS SELECT,SELEZIONE OPZIONI,SELEÇÃO DE OPÇÕES,
GAME_CONFIG_ARROW2,GAME_CONFIG_ARROW2,DESCRIPTION,DESCRIZIONE,DESCRIÇÃO,
GAME_CONFIG_ARROW3,GAME_CONFIG_ARROW3,BLOCKS SELECTION,SELEZIONE BLOCCHI,SELEÇÃO DE BLOCOS,
GAME_CONFIG_ARROW4,GAME_CONFIG_ARROW4,GAME RULES SETUP,REGOLE DI GIOCO,CONFIGURAÇÃO DE REGRAS DE JOGO,
GAME_CONFIG_ARROW5,GAME_CONFIG_ARROW5,GAMEPLAY PARAMETERS,PARAMETRI GAMEPLAY,PARAMETROS DE REGRAS DE JOGO,
,,,,,
-Blocks selection-,,,,,
GC_BS_LABEL1,GC_BS_LABEL1,BLOCK COLORS,COLORE BLOCCHI,CORES DOS BLOCOS,
GC_BS_LABEL2,GC_BS_LABEL2,SPECIAL BLOCKS,BLOCCHI SPECIALI,BLOCOS ESPECIAIS,
RED_BLOCK,RED_BLOCK,Red,Rosso,Vermelho,
RED_BLOCK_DESC,RED_BLOCK_DESC,Toggle red color blocks.,Imposta blocchi rossi,Ativar/Desativar blocos de cor vermelha.,
WHITE_BLOCK,WHITE_BLOCK,White,Bianco,Branco,
WHITE_BLOCK_DESC,WHITE_BLOCK_DESC,Toggle white color blocks.,Imposta blocchi bianchi,Ativar/Desativar blocos de cor branca.,
GREEN_BLOCK,GREEN_BLOCK,Green,Verde,Verde,
GREEN_BLOCK_DESC,GREEN_BLOCK_DESC,Toggle green color blocks.,Imposta blocchi verdi,Ativar/Desativar blocos de cor Verde,
PURPLE_BLOCK,PURPLE_BLOCK,Purple,Viola,Roxo,
PURPLE_BLOCK_DESC,PURPLE_BLOCK_DESC,Toggle purple color blocks.,Imposta blocchi viola,Ativar/Desativar blocos de cor roxa,
SPECIAL_DELAY,SPECIAL_DELAY,Special blocks delay,Frequenza blocchi speciali,Atraso de blocos especiais,
SPECIAL_DELAY_DESC,SPECIAL_DELAY_DESC,Set how much pieces must pass before giving piece with special block.,Imposta quanti pezzi bisogna utilizzare prima di riceverne uno con un blocco speciale,Define quantas peças devem passar antes de dar a peça com bloco especial.,
INSTANT_SPECIAL,INSTANT_SPECIAL,Instant special blocks,Speciale istantaneo,Blocos especiais instantâneos,
INSTANT_SPECIAL_DESC,INSTANT_SPECIAL_DESC,Makes special blocks work instantly on land like in Lumines Remastered.,I blocchi speciali si attivano subito quando atterrano. Proprio come in Lumines Remastered,Faz blocos com que os especiais funcionarem instantaneamente quando pousados como no jogo Lumines Remastered.,
CHAIN_BLOCK,CHAIN_BLOCK,Chain,Catena,Corrente,
CHAIN_BLOCK_DESC,CHAIN_BLOCK_DESC,"Toggle ""chain"" special block. This block chains adjacent same-colored blocks and makes them erasable by the timeline.","Imposta il blocco ""catena"". Si collega ad altri blocchi del suo stesso colore, rendendoli eliminabili al passaggio della timeline","Ativar/Desativar o bloco especial ""corrente"". Este bloco encadeia blocos adjacentes da mesma cor e torna-lhes apagáveis ​​pela linha do tempo.",
MERGE_BLOCK,MERGE_BLOCK,Merge,Combina,Misturar,
MERGE_BLOCK_DESC,MERGE_BLOCK_DESC,"Toggle ""merge"" special block. This block turns all blocks in a 3 block radius into the same color.","Imposta il blocco ""combina"". Trasforma tutti i blocchi in un raggio di 3 celle nel suo stesso colore","Ativar/Desativar o bloco especial ""misturar"". Este bloco transforma todos os blocos num raio de 3 blocos na mesma cor.",
LASER_BLOCK,LASER_BLOCK,Laser,Laser,Laser,
LASER_BLOCK_DESC,LASER_BLOCK_DESC,"Toggle ""laser"" special block. When this block is erased by timeline it removes all blocks in 8 directions lines.","Imposta il blocco ""laser"". Quando questo blocco viene cancellato dalla timeline, rimuove pure tutti i blocchi che incontra in tutte e 8 le direzioni","Ativar/Desativar o bloco especial ""laser"". Quando este bloco é apagado pela linha do tempo, ele remove todos os blocos em 8 linhas de direção.",
WIPE_BLOCK,WIPE_BLOCK,Wipe,Scanner,Limpar,
WIPE_BLOCK_DESC,WIPE_BLOCK_DESC,"Toggle ""wipe"" special block. This block makes all blocks in 3 blocks radius erasable be timeline no matter where they are placed.","Imposta il blocco ""scanner"". Fa sì che tutti i blocchi in un raggio di 2 celle del suo stesso colore, diventano cancellabili indipendentemente dal loro piazzamento","Ativar/Desativar o bloco especial ""limpar"". Este bloco torna todos os blocos num raio de 3 blocos apagáveis ​​pela linha do tempo, não importa onde eles sejam colocados.",
MULTI_BLOCK,MULTI_BLOCK,Multi,Multi,Multi,
MULTI_BLOCK_DESC,MULTI_BLOCK_DESC,"Toggle ""multi"" special block. This block can be formed in square with any other block color. It appears 4 times more than other special blocks.","Imposta il blocco ""multi"". Si può formare un quadrato di qualsiasi colore con questo ed appare 4 volte più del solito rispetto agli altri","Ativar/Desativar o bloco especial ""multi"". Este bloco pode ser formado num quadrado com qualquer outra cor de bloco. Ele aparece 4 vezes mais do que os outros tipos blocos especiais.",
DARK_BLOCK,DARK_BLOCK,Dark,Scuro,Escuro,
DARK_BLOCK_DESC,DARK_BLOCK_DESC,"Toggle ""dark"" block. This block frequently appears in pieces and cannot be squared. You can destroy it by erasing adjacent blocks.","Imposta il blocco ""scuro"". Appare spesso nei pezzi e non si possono formare quadrati con esso. Può essere eliminato formando dei quadrati adiacenti","Ativar/Desativar o bloco ""escuro"". Este bloco aparece frequentemente em peças não pode ser tranformado em quadrado. Podes destruí-lo apagando o bloco adjacente.",
CHAOS_BLOCK,CHAOS_BLOCK,Chaos,Caos,Caos,
CHAOS_BLOCK_DESC,CHAOS_BLOCK_DESC,"Toggle ""chaos"" block. This block changes its color each time the timeline passes.","Imposta il blocco ""caos"". Questo blocco cambia colore ad ogni passaggio della timeline","Ativar/Desativar o bloco ""caos"". Este bloco muda de cor a cada passagem da linha do tempo.",
,,,,,
-Game rules-,,,,,
PIECE_SWAP,PIECE_SWAP,Piece swap,Scambia pezzo,Troca de peças,
PIECE_SWAP_DESC,PIECE_SWAP_DESC,"Toggle piece swap mechanic, which allows to replace current piece with next piece in queue.","Imposta lo scambio pezzo, che permette di rimpiazzare il pezzo in uso con il prossimo della fila","Ativar/Desativar a troca de peças, que permite trocar a peça atual com a próxima peça na fila",
POS_SAVE,POS_SAVE,Position saving,Salva posizione,Salvar posição,
POS_SAVE_DESC,POS_SAVE_DESC,"If enabled piece will appear at current holder position, instead of appearing in the center of the game field like in original Lumines.","Se attivato, il prossimo pezzo apparira nel punto in cui è caduto il precedente e non al centro","Se ativado, a peça aparecerá na posição atual do titular, em vez de aparecer no centro do campo de jogo como no Lumines original.",
SQUARE_SCORE,SQUARE_SCORE,Square explosion scoring,Favorisci esplosione quadrato,Pontuação na explosão de quadrados,
SQUARE_SCORE_DESC,SQUARE_SCORE_DESC,"If enabled, score will also be given for each individual square group explosion","Se attivato, i punti verranno dati quando si fa esplodere uno o più quadrati","Se ativado, a pontuação também será dada para cada explosão de grupo individual de quadrados",
COMBO_SYSTEM,COMBO_SYSTEM,Combo system,Sistema combo,Sistema de combinações,
COMBO_SYSTEM_DESC,COMBO_SYSTEM_DESC,"Enables combo meter, which is filled by doing 4x bonuses and it multiplies all incoming score","Abilita la barra combo, che si riempe ottenendo bonus ×4 e moltiplica il punteggio seguente","Permite a medição de combinações, que é progride ao fazer bónus 4x e multiplica todas as pontuações recebidas",
MAX_COMBO,MAX_COMBO,Max combo,Combo massima,Combinação máxima,
MAX_COMBO_DESC,MAX_COMBO_DESC,Set maximum combo value which will multiply incoming score.,Limita quanto la combo può moltiplicare il punteggio.,Define o valor máximo de combinação que multiplicará a pontuação recebida.,
CLASSIC_SCORE,CLASSIC_SCORE,Classic scoring,Sistema classico,Pontuação clássica,
CLASSIC_SCORE_DESC,CLASSIC_SCORE_DESC,Toggle classic scoring system which is similar to Lumines scoring system.,Imposta il sistema di punteggio classico che è molto simile a quello del Lumines originale,"Ativa/Desativa o sistema de pontuação clássico, que é semelhante ao sistema de pontuação de Lumines.",
,,,,,
-Game parameters-,,,,,
SEED,SEED,Seed,Seed,Semente,
SEED_DESC,SEED_DESC,Enter seed value which determines all game random events (ex. pieces patterns). If set to 0 seed will be random on each retry.,"Imposta il valore del seed che determina la casualità del gioco (Es. sequenza pezzi). Se si mette 0, il seed sarà casuale ad ogni partita","Introduz o valor da semente que determina todos os acontecimentos aleatórios (ex. padrão das peças). Se deixares como 0, a semente será aleatoria a cada tentativa.",
SEED_DIALOG,SEED_DIALOG,Enter seed number,Inserisci numero Seed,Introduz o número da semente,
PIECE_FALL_SPEED,PIECE_FALL_SPEED,Piece fall speed,Velocità caduta pezzi,Velocidade de queda da peça,
PIECE_FALL_SPEED_DESC,PIECE_FALL_SPEED_DESC,Set piece fall speed in seconds. If set to 0 piece will drop instantly.,"Imposta velocità di caduta in secondi. Se impostata a 0, il pezzo atterrerà subito","Define a velocidade da queda em segundos. Se deixares como 0, a peça cairá instantaneamente",
PIECE_FALL_DELAY,PIECE_FALL_DELAY,Piece fall delay,Attivazione caduta pezzi,Atraso de queda da peça,
PIECE_FALL_DELAY_DESC,PIECE_FALL_DELAY_DESC,Set delay in seconds before piece starts falling by itself.,Imposta il ritardo in secondi prima che il pezzo cade da solo,Define o atraso em segundos antes dela começar a cair sozinha,
QUICK_DROP_SPEED,QUICK_DROP_SPEED,Piece quick drop speed,Velocità quick drop,Velocidade de queda rápida da peça,
QUICK_DROP_SPEED_DESC,QUICK_DROP_SPEED_DESC,Set piece quick drop speed multiplier.,Imposta il moltiplicatore della velocità del quick drop,Define o multiplicador de velocidade da queda rápida da peça,
PIECE_DASH_SPEED,PIECE_DASH_SPEED,Piece dash speed,Velocità scatto,Velocidade do movimento lateral rápido,
PIECE_DASH_SPEED_DESC,PIECE_DASH_SPEED_DESC,Set piece dash speed multiplier.,Imposta il moltiplicatore della velocità dello scatto,Define o multiplicador de velocidade do movimento lateral rápido da peça,
PIECE_DASH_DELAY,PIECE_DASH_DELAY,Piece dash delay,Attivazione scatto,Atraso de movimento lateral rápido,
PIECE_DASH_DELAY_DESC,PIECE_DASH_DELAY_DESC,Set delay in seconds before piece starts dashing.,Imposta il ritardo in secondi prima che il pezzo scatta,Define o atraso em segundos antes do movimento lateral rápido começar,
BLOCK_GRAVITY,BLOCK_GRAVITY,Block gravity,Gravità,Gravidade dos blocos,
BLOCK_GRAVITY_DESC,BLOCK_GRAVITY_DESC,Set block fall speed multiplier.,Imposta il moltiplicatore della veolcità di caduta,Define o multiplicador de velocidade de queda dos blocos,
DIFFICUTLY_GROW,DIFFICUTLY_GROW,Difficulty grow speed,Velocità di crescita di difficoltà,Crescimento de dificuldade,
DIFFICUTLY_GROW_DESC,DIFFICUTLY_GROW_DESC,Set how much per level decreases piece delay and increases piece speed multiplier.,Imposta il moltiplicatore di quanto riduce il ritardo e aumenta la velocità del pezzo per livello,Define o quanto por nível diminui o atraso de queda e aumenta a gravidade,
LEVEL_LENGTH,LEVEL_LENGTH,Level length,Lunghezza livello,Duração do nível,
LEVEL_LENGTH_DESC,LEVEL_LENGTH_DESC,Set how much squares must be erased before level up.,Imposta quanti quadrati devi cancellare prima di passare al livello successivo,Define quantos quadrados têm de ser feitos para passar de nível,
LEVEL_COUNT,LEVEL_COUNT,Level count,Lunghezza skin,Número de níveis,
LEVEL_COUNT_DESC,LEVEL_COUNT_DESC,Set how much levels you need to beat to move onto the next skin.,Imposta quanti livelli devi superare prima di passare alla prossima skin,Define quantos níveis precisas de passar para passar á skin seguinte,
FORCE_BPM,FORCE_BPM,Force BPM,Forza BPM,Forçar BPM,
FORCE_BPM_DESC,FORCE_BPM_DESC,Force BPM which will be used in all skins. Set to 0 to disable this setting. Requires skin restart to take action.,Forza il BPM che verra usato in tutte le skin. Imposta a 0 per disabilitare questa opzione. Richiede un riavvio della skin per farlo funzionare,Força as BPM em todas as skins. Define como 0 para desativar esta função. É necesssário reiniciar as skin para funcionar.,
,,,,,
-Time attack mode menu-,,,,,
SELECT_TIME,SELECT_TIME,Select time,Seleziona tempo,Seleciona o limite de tempo,
60_SEC_DESC,60_SEC_DESC,Set 60 seconds (1 minute) time limit.,Imposta 60 secondi (1 minuto) come tempo,Define um limite de tempo de 60 segundos (1 minuto).,
120_SEC_DESC,120_SEC_DESC,Set 120 seconds (2 minutes) time limit.,Imposta 120 secondi (2 minuti) come tempo,Define um limite de tempo de 120 segundos (2 minutos).,
180_SEC_DESC,180_SEC_DESC,Set 180 seconds (3 minutes) time limit.,Imposta 180 secondi (3 minuti) come tempo,Define o limite de tempo de 180 segundos (3 minutos).,
300_SEC_DESC,300_SEC_DESC,Set 300 seconds (5 minutes) time limit.,Imposta 300 secondi (5 minuti) come tempo,Define um limite de tempo de 300 segundos (5 minutos).,
600_SEC_DESC,600_SEC_DESC,Set 600 seconds (10 minutes) time limit.,Imposta 600 secondi (10 minuti) come tempo,Define um limite de tempo de 600 segundos (10 minutos).,
CUSTOM_SEC_DESC,CUSTOM_SEC_DESC,Set your own time limit. Your record won't be saved.,Imposta il tuo tempo limite. Il tuo record non verrà salvato.,Define o teu próprio limite de tempo. O recorde não será salvo,
SEC,SEC,sec,sec,s / segundos,
SELECT_RULESET,SELECT_RULESET,Select ruleset,Seleziona regole,Selecionar regras,
TA_STANDARD,TA_STANDARD,Standard,Standard,Padrão,
TA_STANDARD_DESC,TA_STANDARD_DESC,"Standard Luminext time attack rules. Features piece position saving, piece swapping, and only the merge special block is available","Regole standard di Luminext. Include salva posizione, scambio pezzo e solo ""combina"" è disponibile come blocco speciale","Regras padrão de ataque ao tempo do Luminext. Inclui o salvamento de posição da peça, troca de peça e apenas bloco especial ""misturar"" está disponível.",
TA_CLASSIC,TA_CLASSIC,Classic,Classico,Clássico,
TA_CLASSIC_DESC,TA_CLASSIC_DESC,"Classic Lumines time attack rules. No position saving, piece swapping, and only chain special block is available","Regole classiche di Lumines. Senza salva posizione e scambio e solo ""catena"" come blocco speciale","Regras clássicas de ataque ao tempo do Lumines. Não há salvamento de posição, troca de peças e apenas bloco especial ""corrente"" está disponível.",
TA_ARCADE,TA_ARCADE,Arcade,Arcade,Arcada,
TA_ARCADE_DESC,TA_ARCADE_DESC,"Same as standard, but all 4 main special blocks + multi blocks are available and will appear frequently.",Simile a standard ma con tutti e 4 i blocchi speciali e i blocchi multi,"Igual ás regras padrão, mas todos os 4 blocos especiais principais + o bloco especial ""multi"" estão disponíveis e aparecem com frequência.",
TA_3_COLOR,TA_3_COLOR,3 Color,Tricolore,3 Cores,
